risk_id,category,risk_description,trigger,probability,impact,severity,owner,status,mitigation,contingency,review_date
R001,数据,缺少快照时间字段导致无法严格时间切分,D4字段检查确认无时间字段,已发生,高-影响验证策略和特征工程,P0,数据分析团队,已缓解,MVP降级为随机分层切分；报告中明确说明限制,如未来获得时间字段则升级为时间验证,W2 EDA开始前
R002,数据,TotalCharges为字符串类型且含11个空格,D5质量审计发现,已发生,中-影响特征使用,P1,数据分析团队,待处理,W3清洗Pipeline转换为数值类型,如转换失败则删除该字段或保留缺失标志,W3清洗完成后
R003,数据,无使用量时间序列导致H3假设不可验证,D2假设矩阵制定时识别,已发生,中-限制假设验证范围,P2,项目团队,已接受,记录为数据缺口；使用静态服务采用字段作为替代,记录为未来数据需求,W2 EDA
R004,数据,工单数据与Telco缺统一客户ID导致H7不可验证,D2假设矩阵制定时识别,中,低-可选假设,P2,数据分析团队,待验证,W2 EDA时检查客户ID交集,如交集足够则W3后整合；否则分开分析,W2 EDA
R005,数据,标签不平衡(26.54%流失)影响模型性能,D5质量审计发现,已发生,中-影响模型评估,Note,建模团队,已计划,W5使用SMOTE/类别权重/阈值调整；采用PR-AUC等不平衡友好指标,如效果不佳则回退基线并解释,W5建模时
R006,范围,将Telco代理数据误写为Azure内部数据,文档撰写和报告生成时,低,高-误导和过度承诺,P0,项目团队,预防中,所有文档标注代理数据声明；审查措辞,如发现立即更正并更新版本,持续
R007,范围,将相关性误表述为因果关系,分析结论撰写时,中,中-误导业务决策,P1,项目团队,预防中,措辞审查；明确W1-W8不评估因果,在报告中区分预测性因素和因果驱动,持续
R008,范围,将价值代理(MonthlyCharges)误称为CLV或毛利,W8分层分析时,中,中-过度承诺,P1,项目团队,预防中,明确标注透明价值代理；在报告中说明局限性,如误用立即更正,W8开始前
R009,技术,模型指标不达目标线导致交付质量不足,W5-W6建模时,中,中-影响项目价值,P1,建模团队,预防中,W5建立合理基线；优先数据质量和特征工程,不通过泄漏或改标签追求指标；解释差距原因,W5-W6
R010,技术,过拟合或测试集泄漏导致结果不可信,W5-W6建模时,中,高-结果无效,P0,建模团队,预防中,固定验证集和种子；测试集只评估一次；SHAP检查特征合理性,如发现泄漏立即重跑并更新,W5-W7
R011,依赖,Python环境或包版本问题导致脚本无法运行,代码执行时,低,中-阻塞进度,P1,技术团队,已缓解,已完成环境安装；使用虚拟环境隔离,记录依赖版本；提供环境检查脚本,W2+按需
R012,依赖,Azure CLI未登录或无预算导致云资源不可用,云部署尝试时,中,低-进阶项不可用,P2,项目团队,已接受,本地MVP不依赖云资源；云部署为可选进阶,获得授权和预算后再上云,W8前
R013,进度,工时不足导致无法完成所有任务,每周执行时,中,中-范围削减,P1,项目团队,监控中,优先级排序；保持DoD和红线不变；必要时调整范围,削减可选进阶项；保留核心MVP,每周复盘
R014,沟通,未决问题长期未确认导致进度阻塞,问题登记后,低,中-延误进度,P1,项目团队,预防中,每个问题有owner和计划解决时间；定期复查,升级到决策日志并标记为阻塞,每周复盘
R015,质量,数据清洗过度导致信息丢失,W3清洗Pipeline时,中,中-模型性能下降,P1,数据分析团队,预防中,保留原始数据只读；清洗规则审批后执行；记录清洗前后对比,回滚到清洗前版本重新设计规则,W3
