hypothesis_id,hypothesis_statement,status,analyzed,direction_supported,test_id,n,p_value,p_bonferroni,effect_name,effect,conclusion,action,limitations
H1,月付或短合同客户流失率显著高于长期合约客户,通过,True,True,H1_contract_all,7043,5.86303830067e-258,3.5178229804e-257,Cramers V,0.410115696576,合同类型与观察流失有关，月付组高于一年期与两年期。,月付客户访谈和上手支持候选；不声称年付转换的因果效果。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
H2,客户年限较短（尤其<3-6月）的客户流失率显著高于老客户,通过,True,True,H2_tenure_all,7043,1.40461676995e-223,8.42770061971e-223,Spearman rho,-0.367061856686,年限与标签负相关；低tenure组观察流失率更高。,核查新客体验；无事件日期，不能据此估计生存曲线。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
H3,近30-90天使用量/消费下降的客户流失风险更高,不可验证,False,,,,,,,,缺登录、资源使用量及30–90天时间序列。,补充真实使用事件与快照日期后再验证。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
H4,服务种类少或关键增值服务采用浅的客户流失风险更高,部分通过,True,True,H4_services_internet,5517,8.95412186237e-106,5.37247311742e-105,Spearman rho,-0.287901054442,互联网客户内服务数与流失负相关；全体0服务组混杂无互联网客户，非简单全局单调关系。,保留服务适用性，采用六项互联网增值服务统一口径；使用深度不可验证。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
H5,高月费用但服务采用/使用深度低的客户流失风险更高（感知性价比低）,部分通过,True,True,H5_low_services_among_high_fee_internet,3524,3.25400704387e-73,1.95240422632e-72,Cramers V,0.304882846364,高月费互联网客户中少服务组流失较高；光纤内方向一致，但DSL高费少服务组样本极少、校正不显著；价格感知与使用深度不可观察。,核查套餐适配与使用数据；不能断言客户认为性价比低或所有网络子群都成立。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
H6,手动支付或支付失败的客户流失风险更高,部分通过,True,True,H6_manual_payment_all,7043,1.87249092238e-69,1.12349455343e-68,Cramers V,0.209902063591,手动与自动支付组观察流失不同，电子支票差异突出；支付失败无数据。,结合合同分层复核；自动支付不等于自动续费。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
H7,工单频繁、严重程度高或解决周期长的客户流失风险更高,不可验证,False,,,,,,,,不可验证：工单表无Telco customerID及可靠映射，Telco无快照时间；未合并。,需稳定共同客户键、映射依据和一致观察窗口；不按姓名或行号拼接。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
H8,启用自动续费的客户流失风险更低；历史成功续约次数越多流失越低,不可验证,False,,,,,,,,沿用W1定义：自动续费与历史续约；缺自动续费标志、续约历史、到期日。,H8不改写为支付失败；不以tenure或PaymentMethod替代证据。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
H9,不同客户细分中相同风险因素影响权重不同；某些细分基线流失率更高,部分通过,True,,demographic_SeniorCitizen,7043,9.47790350738e-37,3.79116140295e-36,Cramers V,0.150889328176,部分人口细分基线存在差异，性别无显著证据；未验证各群驱动权重差异。,检查细分稳定性与公平性；无地区、行业、企业规模字段。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
H10,同一风险因素在高价值与低价值客户中业务优先级不同；风险×价值矩阵指导资源分配,部分通过,True,,H10_fee_quartiles_all,7043,1.13765522273e-77,6.82593133639e-77,Cramers V,0.226016127466,完成月费分位关联与风险规则×价值矩阵雏形；未证明资源分配效果。,MonthlyCharges只是价值代理；无预测概率、CLV、毛利或ROI结果。,Telco公开代理数据；横截面关联；无事件日期；月费为价值代理，非CLV。
