hypothesis_id,hypothesis_statement,business_rationale,primary_field,secondary_fields,validation_method,data_gap,actionability,verification_status
H1,月付或短合同客户流失率显著高于长期合约客户,订阅型业务中短合同转换成本低、承诺度低，更容易流失,Contract,"tenure, MonthlyCharges","流失率对比、卡方检验、特征重要性、SHAP值",缺合同日期/到期日/续约历史,高（年付转换激励、早期支持）,待验证
H2,客户年限较短（尤其<3-6月）的客户流失率显著高于老客户,新客前3-6月面临最高流失风险：上手不足、期望不符、学习曲线,tenure,"Contract, 服务订阅字段","流失率vs tenure分段、生存曲线、特征重要性",缺注册日期/首次使用日/早期行为时间序列,高（前90天上手计划、客户成功介入）,待验证
H3,近30-90天使用量/消费下降的客户流失风险更高,使用量下降是流失前兆：登录降低、资源使用下降、粘性降低,缺失（需时间序列）,MonthlyCharges（静态快照）,当前无法验证趋势,**缺使用量时间序列、无法计算变化率**,高（如有数据：下降预警、重新激活）,当前不可验证
H4,服务种类少或关键增值服务采用浅的客户流失风险更高,多服务客户转换成本高、产品适配度高，单一服务易被替代,服务订阅列（PhoneService/InternetService等）,派生ServiceCount,"流失率vs服务数量、服务组合模式、特征重要性、交互特征",缺功能使用深度/服务添加移除历史,高（交叉销售、增值服务试用、捆绑优惠）,待验证
H5,高月费用但服务采用/使用深度低的客户流失风险更高（感知性价比低）,费用上涨或高费用低使用导致性价比不满，价格是Top3流失原因,MonthlyCharges,"服务数量, InternetService, Contract","流失率vs费用分位、散点图费用vs服务、ChargesPerService特征",缺历史费用变化/使用量/满意度数据,中高（套餐优化、价值沟通、定向折扣）,部分可验证
H6,手动支付或支付失败的客户流失风险更高,支付失败/手动支付忘记续费导致被动流失，自动支付留存率高15-25%,PaymentMethod,"PaperlessBilling, MonthlyCharges","流失率vs支付方式、卡方检验、与Contract交互",缺支付失败事件/欠费记录/账单争议,中（自动支付转换激励、支付失败挽回）,部分可验证
H7,工单频繁、严重程度高或解决周期长的客户流失风险更高,客户支持体验是关键驱动因素，未解决问题使流失风险提升2-3倍,独立数据集（Customer Support Tickets）,需验证客户ID对应,如可整合：流失率vs工单数/严重度，工单特征重要性,**缺Telco与工单统一客户ID、时间口径对齐**,高（如有数据：高工单客户主动介入）,当前不可验证
H8,启用自动续费的客户流失风险更低；历史成功续约次数越多流失越低,自动续约客户留存率80-90% vs 手动60-70%，首次续约是关键里程碑,缺失（无自动续费标志）,tenure（间接代理）,当前只能间接通过tenure验证,**缺自动续费标志、续约历史、合同到期日**,高（如有数据：推动自动续费、首次续约介入）,当前不可验证
H9,不同客户细分中相同风险因素影响权重不同；某些细分基线流失率更高,行业/地区/规模差异导致价格敏感度、流失驱动因素不同,人口统计字段（Gender/SeniorCitizen/Partner/Dependents）,各风险因素,"流失率vs细分、细分×因素交互、细分稳定性检查",可能缺B2B字段（行业/地区/公司规模）,中高（细分定制策略、差异化定价）,待验证（取决于字段）
H10,同一风险因素在高价值与低价值客户中业务优先级不同；风险×价值矩阵指导资源分配,帕累托原则：20%客户贡献80%收入，差异化留存策略提升ROI 2-3倍,"MonthlyCharges, TotalCharges",模型风险评分,"价值分布、价值vs流失率、风险×价值四象限、客户优先级",缺真实毛利/成本/策略成本,高（客户优先级、差异化策略、资源分配）,可验证
